fpr,tpr
0.0,0.0
0.0,0.00034223134839151266
0.0,0.010609171800136893
0.0,0.011293634496919919
0.0,0.013004791238877482
0.0,0.013689253935660506
0.0,0.019849418206707735
0.0,0.02053388090349076
0.0,0.09650924024640657
0.0,0.0971937029431896
0.0,0.12012320328542095
0.0,0.12080766598220397
0.0,0.1601642710472279
0.0,0.16084873374401096
0.0,0.20362765229295005
0.00010765421466250404,0.20362765229295005
0.00010765421466250404,0.20910335386721424
0.00021530842932500807,0.20910335386721424
0.00021530842932500807,0.2104722792607803
0.0003229626439875121,0.2104722792607803
0.0003229626439875121,0.2265571526351814
0.0005382710733125202,0.2265571526351814
0.0005382710733125202,0.229637234770705
0.0006459252879750242,0.229637234770705
0.0006459252879750242,0.23819301848049282
0.0007535795026375283,0.23819301848049282
0.0007535795026375283,0.24264202600958248
0.0008612337173000323,0.24264202600958248
0.0008612337173000323,0.25256673511293637
0.0009688879319625363,0.25256673511293637
0.0009688879319625363,0.25667351129363447
0.0010765421466250404,0.25667351129363447
0.0010765421466250404,0.25804243668720056
0.0011841963612875444,0.25804243668720056
0.0011841963612875444,0.26865160848733743
0.0012918505759500485,0.26865160848733743
0.0012918505759500485,0.27104722792607805
0.0013995047906125524,0.27104722792607805
0.0013995047906125524,0.2782340862422998
0.0016148132199375605,0.2782340862422998
0.0016148132199375605,0.2789185489390828
0.0018301216492625687,0.2789185489390828
0.0018301216492625687,0.2792607802874743
0.0019377758639250726,0.2792607802874743
0.0019377758639250726,0.2799452429842574
0.0020454300785875765,0.2799452429842574
0.0020454300785875765,0.2809719370294319
0.002153084293250081,0.2809719370294319
0.002153084293250081,0.28199863107460643
0.002260738507912585,0.28199863107460643
0.002260738507912585,0.28234086242299794
0.0023683927225750887,0.28234086242299794
0.0023683927225750887,0.28815879534565364
0.002476046937237593,0.28815879534565364
0.002476046937237593,0.28850102669404515
0.002583701151900097,0.28850102669404515
0.002583701151900097,0.28952772073921973
0.002691355366562601,0.28952772073921973
0.002691355366562601,0.2922655715263518
0.002799009581225105,0.2922655715263518
0.002799009581225105,0.2946611909650924
0.002906663795887609,0.2946611909650924
0.002906663795887609,0.2950034223134839
0.003014318010550113,0.2950034223134839
0.003014318010550113,0.30150581793292264
0.003121972225212617,0.30150581793292264
0.003121972225212617,0.30903490759753593
0.003229626439875121,0.30903490759753593
0.003229626439875121,0.3138261464750171
0.0033372806545376252,0.3138261464750171
0.0033372806545376252,0.31553730321697465
0.003444934869200129,0.31553730321697465
0.003444934869200129,0.31793292265571527
0.003552589083862633,0.31793292265571527
0.003552589083862633,0.3196440793976728
0.0036602432985251374,0.3196440793976728
0.0036602432985251374,0.3247775496235455
0.0037678975131876413,0.3247775496235455
0.0037678975131876413,0.32511978097193706
0.0038755517278501453,0.32511978097193706
0.00398320594251265,0.32546201232032856
0.00398320594251265,0.3261464750171116
0.00398320594251265,0.3268309377138946
0.00398320594251265,0.3278576317590691
